pitcher_name,year,ERA,WAR,TBF,H,HR,BB,HBP,SO,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,SwStr%,Swing%
오간도,2013.0,3.11,0.9,428.0,87.0,11.0,41.0,5.0,72.0,1.23,0.254,4.36,0.18,0.40700000000000003,0.5429999999999999,0.095,0.081,0.447
로저스,2012.0,4.69,0.9,348.0,83.0,7.0,30.0,5.0,83.0,1.44,0.341,3.48,0.228,0.474,0.639,0.162,0.098,0.46
오간도,2010.0,1.3,0.8,171.0,31.0,2.0,16.0,1.0,39.0,1.13,0.257,3.05,0.179,0.43799999999999994,0.643,0.18600000000000005,0.109,0.46399999999999997
스와잭,2011.0,4.32,0.8,441.0,111.0,9.0,26.0,6.0,55.0,1.34,0.29600000000000004,4.04,0.201,0.382,0.68,0.069,0.055,0.461
스와잭,2013.0,2.91,0.8,387.0,89.0,7.0,22.0,1.0,69.0,1.16,0.285,3.28,0.192,0.452,0.6559999999999999,0.038,0.08,0.45399999999999996
오간도,2012.0,3.27,0.8,263.0,49.0,9.0,17.0,2.0,66.0,1.0,0.237,3.73,0.21,0.375,0.639,0.13699999999999998,0.132,0.495
앨버스,2013.0,4.05,0.8,249.0,64.0,6.0,7.0,2.0,25.0,1.18,0.278,3.96,0.196,0.435,0.67,0.11699999999999999,0.067,0.48700000000000004
레이예스,2011.0,5.57,0.7,641.0,176.0,21.0,48.0,7.0,87.0,1.59,0.324,4.9,0.223,0.406,0.718,0.127,0.067,0.467
에반,2010.0,2.14,0.7,324.0,53.0,5.0,31.0,4.0,70.0,1.05,0.224,3.45,0.161,0.5670000000000001,0.591,0.153,0.105,0.49
볼스테드,2011.0,4.89,0.7,719.0,187.0,23.0,49.0,1.0,117.0,1.42,0.31,4.32,0.2,0.523,0.59,0.034,0.08,0.434
피노,2014.0,5.07,0.7,258.0,66.0,8.0,14.0,1.0,50.0,1.33,0.314,3.94,0.233,0.28600000000000003,0.584,0.11,0.073,0.484
린드블럼,2011.0,2.73,0.7,116.0,21.0,0.0,10.0,2.0,28.0,1.04,0.276,2.35,0.19399999999999998,0.278,0.585,0.21100000000000002,0.095,0.47200000000000003
비야누에바,2012.0,4.16,0.6,521.0,113.0,23.0,46.0,3.0,122.0,1.27,0.275,4.71,0.192,0.3670000000000001,0.442,0.09300000000000001,0.10300000000000001,0.445
헤일,2013.0,0.82,0.6,46.0,11.0,0.0,1.0,0.0,14.0,1.09,0.355,0.78,0.233,0.633,0.716,0.0,0.136,0.462
맨쉽,2015.0,0.92,0.6,144.0,20.0,1.0,10.0,1.0,33.0,0.76,0.192,2.63,0.22,0.5,0.564,0.071,0.107,0.47100000000000003
플란데,2014.0,5.19,0.6,241.0,55.0,5.0,16.0,2.0,34.0,1.2,0.272,4.0,0.201,0.5820000000000001,0.62,0.05,0.071,0.44
앨버스,2017.0,3.51,0.5,178.0,43.0,6.0,10.0,2.0,37.0,1.29,0.301,4.13,0.266,0.336,0.647,0.098,0.08,0.521
이브랜드,2011.0,3.03,0.5,118.0,28.0,1.0,6.0,2.0,16.0,1.15,0.29,3.19,0.228,0.5539999999999999,0.425,0.05,0.064,0.44799999999999995
허프,2011.0,4.09,0.5,227.0,55.0,6.0,17.0,0.0,36.0,1.42,0.292,4.15,0.19699999999999998,0.324,0.6779999999999999,0.084,0.071,0.452
윌슨,2016.0,5.27,0.4,414.0,110.0,15.0,24.0,4.0,55.0,1.43,0.301,4.94,0.22,0.451,0.615,0.102,0.069,0.47
루카스,2016.0,4.21,0.4,208.0,46.0,4.0,25.0,4.0,36.0,1.51,0.302,4.57,0.22899999999999998,0.44299999999999995,0.593,0.087,0.073,0.401
스와잭,2014.0,4.6,0.4,378.0,100.0,5.0,28.0,0.0,47.0,1.49,0.319,3.77,0.196,0.445,0.687,0.07400000000000001,0.068,0.469
듀브론트,2015.0,5.5,0.4,328.0,87.0,10.0,26.0,1.0,56.0,1.5,0.328,4.45,0.18899999999999997,0.47100000000000003,0.556,0.099,0.09699999999999999,0.452
윌슨,2015.0,3.5,0.4,149.0,39.0,1.0,11.0,1.0,13.0,1.39,0.309,3.77,0.179,0.52,0.6970000000000001,0.027000000000000003,0.052000000000000005,0.456
지크,2014.0,3.57,0.4,99.0,27.0,0.0,4.0,1.0,14.0,1.37,0.338,2.56,0.221,0.519,0.652,0.15,0.071,0.47100000000000003
헥터,2014.0,4.75,0.3,733.0,180.0,28.0,56.0,2.0,123.0,1.37,0.29,4.83,0.214,0.38,0.515,0.091,0.094,0.48
웹스터,2014.0,5.03,0.3,259.0,58.0,3.0,28.0,7.0,36.0,1.46,0.297,4.35,0.214,0.46,0.603,0.115,0.111,0.461
헤일,2015.0,6.09,0.3,346.0,95.0,14.0,20.0,2.0,61.0,1.47,0.325,4.74,0.20199999999999999,0.469,0.631,0.024,0.111,0.49
코엘로,2013.0,3.71,0.3,73.0,14.0,1.0,8.0,0.0,23.0,1.29,0.317,2.52,0.325,0.2,0.8220000000000001,0.105,0.115,0.431
험버,2010.0,4.15,0.3,94.0,22.0,1.0,7.0,1.0,16.0,1.34,0.304,3.31,0.171,0.457,0.54,0.038,0.046,0.466
헥터,2011.0,4.47,0.3,247.0,63.0,6.0,22.0,2.0,45.0,1.51,0.331,4.09,0.256,0.409,0.564,0.153,0.096,0.486
비야누에바,2010.0,4.61,0.3,231.0,48.0,7.0,22.0,4.0,67.0,1.33,0.313,3.74,0.272,0.33799999999999997,0.29,0.075,0.129,0.41
맨쉽,2010.0,5.28,0.3,124.0,34.0,3.0,6.0,0.0,21.0,1.38,0.33,3.6,0.18899999999999997,0.442,0.56,0.114,0.087,0.436
샘슨,2015.0,6.54,0.3,251.0,67.0,7.0,26.0,0.0,42.0,1.78,0.341,4.76,0.223,0.391,0.621,0.174,0.086,0.44
클로이드,2013.0,6.56,0.3,282.0,83.0,7.0,25.0,1.0,41.0,1.79,0.365,4.49,0.226,0.39399999999999996,0.467,0.08900000000000001,0.065,0.446
세든,2012.0,3.67,0.3,147.0,35.0,2.0,13.0,0.0,18.0,1.4,0.289,3.94,0.25,0.414,0.585,0.154,0.095,0.467
다이아몬드,2011.0,5.08,0.3,181.0,51.0,3.0,17.0,0.0,19.0,1.74,0.338,4.36,0.21,0.462,0.584,0.085,0.071,0.455
린드블럼,2013.0,5.46,0.3,137.0,35.0,4.0,11.0,0.0,21.0,1.47,0.307,4.42,0.257,0.36200000000000004,0.478,0.175,0.083,0.46299999999999997
코프랜드,2015.0,6.46,0.3,69.0,24.0,1.0,2.0,0.0,6.0,1.7,0.383,3.59,0.3670000000000001,0.45,0.6629999999999999,0.091,0.06,0.441
루카스,2011.0,4.5,0.3,86.0,23.0,0.0,8.0,1.0,15.0,1.72,0.371,2.86,0.15,0.55,0.604,0.16699999999999998,0.071,0.429
로저스,2013.0,4.77,0.2,598.0,152.0,21.0,44.0,6.0,96.0,1.42,0.304,4.73,0.23199999999999998,0.47200000000000003,0.589,0.053,0.07200000000000001,0.43
비야누에바,2015.0,2.95,0.2,250.0,50.0,6.0,21.0,2.0,55.0,1.16,0.265,3.74,0.188,0.424,0.423,0.121,0.121,0.46399999999999997
소사,2011.0,5.23,0.2,231.0,54.0,7.0,23.0,3.0,38.0,1.44,0.294,4.77,0.179,0.444,0.615,0.14800000000000002,0.09,0.45399999999999996
듀브론트,2010.0,4.32,0.2,113.0,27.0,3.0,10.0,1.0,23.0,1.48,0.316,4.12,0.10300000000000001,0.474,0.7170000000000001,0.091,0.069,0.4320000000000001
이브랜드,2014.0,2.63,0.2,115.0,24.0,2.0,6.0,4.0,27.0,1.1,0.289,3.21,0.192,0.5379999999999999,0.38,0.14300000000000002,0.105,0.41600000000000004
베렛,2015.0,3.59,0.2,190.0,34.0,6.0,15.0,2.0,39.0,1.03,0.219,4.2,0.162,0.446,0.5579999999999999,0.039,0.11800000000000001,0.499
오설리반,2013.0,3.96,0.2,118.0,31.0,0.0,14.0,1.0,12.0,1.8,0.341,3.89,0.18899999999999997,0.456,0.526,0.094,0.062,0.4370000000000001
린드블럼,2017.0,7.84,0.2,51.0,18.0,0.0,3.0,0.0,10.0,2.03,0.474,2.09,0.21100000000000002,0.395,0.5379999999999999,0.267,0.09699999999999999,0.565
아델만,2016.0,4.0,0.1,287.0,64.0,13.0,20.0,5.0,47.0,1.21,0.252,5.3,0.182,0.364,0.634,0.042,0.09699999999999999,0.49
보니야,2014.0,3.05,0.1,83.0,13.0,2.0,12.0,1.0,17.0,1.21,0.21600000000000005,4.63,0.20800000000000002,0.415,0.597,0.2,0.113,0.391
허프,2012.0,3.37,0.1,114.0,30.0,5.0,5.0,1.0,19.0,1.31,0.298,4.78,0.172,0.379,0.634,0.128,0.09300000000000001,0.47700000000000004
오설리반,2016.0,6.75,0.1,98.0,30.0,3.0,6.0,2.0,13.0,1.69,0.365,4.88,0.27,0.365,0.57,0.14800000000000002,0.059000000000000004,0.45
오간도,2014.0,6.84,0.1,122.0,33.0,1.0,15.0,1.0,22.0,1.92,0.386,3.81,0.193,0.349,0.677,0.053,0.095,0.46
올슨,2011.0,2.08,0.1,21.0,2.0,0.0,3.0,0.0,4.0,1.15,0.14300000000000002,3.26,0.077,0.462,0.6859999999999999,0.16699999999999998,0.11800000000000001,0.47100000000000003
벨레스터,2010.0,2.57,0.1,89.0,15.0,2.0,11.0,2.0,28.0,1.24,0.28300000000000003,3.51,0.114,0.568,0.622,0.071,0.145,0.42
피노,2015.0,3.26,0.1,82.0,23.0,2.0,3.0,0.0,13.0,1.34,0.328,3.6,0.21899999999999997,0.359,0.602,0.07400000000000001,0.061,0.491
스와잭,2015.0,3.38,0.1,61.0,18.0,1.0,4.0,0.0,13.0,1.65,0.395,3.06,0.318,0.4320000000000001,0.722,0.0,0.106,0.51
코엘로,2010.0,4.76,0.1,26.0,4.0,0.0,5.0,0.0,5.0,1.59,0.25,3.96,0.313,0.125,0.878,0.33299999999999996,0.1,0.418
피어밴드,2014.0,6.14,0.1,36.0,12.0,0.0,2.0,0.0,4.0,1.91,0.4,2.86,0.14300000000000002,0.39299999999999996,0.5770000000000001,0.077,0.052000000000000005,0.446
어윈,2013.0,7.71,0.1,23.0,6.0,0.0,4.0,0.0,4.0,2.14,0.4,3.9,0.214,0.643,0.505,0.5,0.043,0.419
허프,2013.0,5.5,0.0,151.0,33.0,7.0,9.0,1.0,31.0,1.12,0.252,4.61,0.239,0.40399999999999997,0.561,0.179,0.107,0.484
이브랜드,2010.0,6.79,0.0,262.0,72.0,4.0,32.0,4.0,24.0,1.91,0.343,5.14,0.161,0.4970000000000001,0.486,0.028999999999999998,0.055,0.401
오간도,2016.0,3.94,0.0,148.0,32.0,2.0,23.0,1.0,29.0,1.72,0.32299999999999995,4.4,0.217,0.391,0.6920000000000001,0.111,0.094,0.452
클로이드,2012.0,4.91,0.0,138.0,33.0,8.0,7.0,2.0,30.0,1.21,0.275,5.25,0.188,0.32299999999999995,0.51,0.085,0.083,0.462
서캠프,2011.0,5.74,0.0,126.0,32.0,1.0,17.0,2.0,13.0,1.84,0.333,4.68,0.275,0.341,0.513,0.114,0.055,0.387
클로이드,2017.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.667,1.16,0.33299999999999996,0.33299999999999996,0.7140000000000001,0.0,0.0,0.5
에반,2011.0,3.48,0.0,100.0,27.0,1.0,12.0,0.0,17.0,1.89,0.371,3.75,0.22899999999999998,0.47100000000000003,0.426,0.0,0.08199999999999999,0.45799999999999996
울프,2013.0,4.15,0.0,207.0,58.0,5.0,15.0,1.0,21.0,1.53,0.321,4.54,0.266,0.473,0.6559999999999999,0.114,0.063,0.47100000000000003
루카스,2010.0,4.88,0.0,119.0,34.0,2.0,17.0,0.0,15.0,2.13,0.376,5.04,0.27699999999999997,0.506,0.6729999999999999,0.111,0.067,0.415
마야,2011.0,5.23,0.0,142.0,40.0,3.0,10.0,2.0,15.0,1.53,0.33,4.4,0.284,0.42200000000000004,0.619,0.031,0.044000000000000004,0.461
팻딘,2016.0,6.28,0.0,300.0,88.0,13.0,23.0,0.0,50.0,1.65,0.35,5.2,0.191,0.444,0.562,0.11,0.061,0.466
맨쉽,2014.0,6.65,0.0,105.0,24.0,1.0,14.0,0.0,16.0,1.65,0.311,4.13,0.222,0.431,0.547,0.16,0.1,0.45899999999999996
해커,2011.0,0.0,0.0,22.0,4.0,0.0,4.0,0.0,2.0,1.5,0.25,4.53,0.188,0.563,0.655,0.0,0.036000000000000004,0.373
볼스테드,2015.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.28600000000000003,3.13,0.0,0.833,0.8,0.0,0.1,0.6
코프랜드,2018.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.75,0.333,0.16,0.33299999999999996,0.667,0.455,0.0,0.182,0.636
티포드,2015.0,1.59,0.0,24.0,5.0,0.0,3.0,1.0,4.0,1.41,0.313,3.84,0.33299999999999996,0.4,0.379,0.0,0.10400000000000001,0.42100000000000004
보우덴,2011.0,4.05,0.0,90.0,19.0,3.0,11.0,0.0,17.0,1.5,0.271,4.93,0.177,0.29,0.687,0.303,0.053,0.446
울프,2010.0,4.26,0.0,56.0,12.0,1.0,6.0,1.0,9.0,1.42,0.282,4.34,0.128,0.5379999999999999,0.569,0.0,0.069,0.465
레온,2015.0,4.39,0.0,115.0,30.0,3.0,9.0,0.0,19.0,1.46,0.321,4.18,0.2,0.45899999999999996,0.594,0.069,0.094,0.488
보우덴,2010.0,4.7,0.0,66.0,20.0,2.0,4.0,0.0,13.0,1.57,0.383,3.86,0.184,0.28600000000000003,0.728,0.0,0.094,0.47600000000000003
이브랜드,2012.0,4.73,0.0,145.0,32.0,3.0,13.0,5.0,18.0,1.39,0.274,4.86,0.17600000000000002,0.48100000000000004,0.516,0.081,0.07200000000000001,0.452
해커,2012.0,5.59,0.0,45.0,14.0,2.0,2.0,1.0,8.0,1.66,0.375,5.06,0.364,0.39399999999999996,0.496,0.0,0.092,0.489
마야,2010.0,5.88,0.0,118.0,30.0,3.0,11.0,2.0,12.0,1.58,0.3,5.16,0.231,0.33,0.49,0.075,0.066,0.44
헥터,2013.0,6.59,0.0,134.0,42.0,3.0,12.0,1.0,21.0,1.98,0.402,4.36,0.273,0.364,0.633,0.111,0.091,0.452
피가로,2010.0,6.75,0.0,69.0,18.0,1.0,8.0,0.0,5.0,1.77,0.309,4.92,0.264,0.358,0.722,0.25,0.040999999999999995,0.435
어센시오,2011.0,6.97,0.0,52.0,16.0,1.0,5.0,0.0,8.0,2.03,0.395,4.19,0.289,0.395,0.484,0.0,0.11599999999999999,0.5379999999999999
루카스,2017.0,7.11,0.0,33.0,10.0,1.0,4.0,0.0,6.0,2.21,0.409,5.21,0.348,0.435,0.626,0.0,0.069,0.374
피가로,2014.0,7.27,0.0,38.0,11.0,2.0,1.0,0.0,8.0,1.38,0.333,4.63,0.172,0.44799999999999995,0.688,0.091,0.096,0.5670000000000001
레나도,2015.0,7.63,0.0,73.0,18.0,2.0,8.0,1.0,11.0,1.7,0.314,5.16,0.235,0.294,0.628,0.042,0.055,0.46399999999999997
맨쉽,2011.0,8.1,0.0,19.0,5.0,0.0,4.0,0.0,2.0,2.7,0.385,5.43,0.077,0.231,0.608,0.111,0.048,0.405
토마스,2012.0,8.22,0.0,37.0,12.0,1.0,3.0,1.0,7.0,1.96,0.44,4.53,0.231,0.308,0.542,0.0,0.077,0.4320000000000001
웨버,2012.0,9.0,0.0,24.0,10.0,0.0,2.0,0.0,1.0,3.0,0.476,4.09,0.1,0.8,0.682,0.0,0.012,0.435
레이예스,2016.0,9.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,2.0,0.333,4.65,0.556,0.33299999999999996,0.33299999999999996,0.0,0.055999999999999994,0.5
카스티요,2017.0,13.5,0.0,8.0,3.0,0.0,1.0,0.0,2.0,3.0,0.6,2.41,0.6,0.4,0.5,0.0,0.2,0.467
다이아몬드,2016.0,27.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,4.0,0.4,9.15,0.2,0.4,0.731,0.0,0.039,0.385
허프,2014.0,3.36,-0.1,258.0,61.0,5.0,23.0,1.0,39.0,1.42,0.295,4.13,0.225,0.47100000000000003,0.535,0.086,0.07200000000000001,0.485
볼스테드,2012.0,6.31,-0.1,507.0,137.0,16.0,43.0,3.0,61.0,1.62,0.315,5.11,0.22699999999999998,0.4920000000000001,0.597,0.092,0.065,0.447
윌슨,2017.0,7.04,-0.1,70.0,22.0,3.0,4.0,1.0,9.0,1.7,0.358,5.51,0.309,0.382,0.7170000000000001,0.0,0.087,0.46
보우덴,2013.0,4.3,-0.1,158.0,32.0,3.0,15.0,3.0,23.0,1.25,0.254,4.3,0.252,0.306,0.639,0.102,0.10400000000000001,0.49
볼스테드,2017.0,4.66,-0.1,76.0,16.0,4.0,5.0,1.0,10.0,1.09,0.214,5.74,0.11699999999999999,0.617,0.617,0.0,0.037000000000000005,0.424
웹스터,2018.0,6.0,-0.1,15.0,2.0,1.0,1.0,2.0,3.0,1.0,0.125,8.49,0.222,0.33299999999999996,0.327,0.25,0.182,0.527
로저스,2015.0,6.27,-0.1,153.0,41.0,5.0,14.0,2.0,31.0,1.67,0.35600000000000004,4.68,0.255,0.425,0.568,0.147,0.102,0.484
스틴슨,2012.0,0.96,-0.1,38.0,7.0,1.0,5.0,0.0,3.0,1.29,0.207,5.45,0.16699999999999998,0.467,0.7240000000000001,0.091,0.059000000000000004,0.428
보우덴,2012.0,2.95,-0.1,165.0,32.0,5.0,17.0,1.0,32.0,1.24,0.245,4.48,0.152,0.39299999999999996,0.579,0.11800000000000001,0.09699999999999999,0.475
스틴슨,2013.0,3.18,-0.1,63.0,10.0,4.0,3.0,1.0,12.0,0.76,0.14,5.4,0.17,0.46799999999999997,0.539,0.0,0.14400000000000002,0.48700000000000004
린드블럼,2014.0,3.86,-0.1,22.0,5.0,1.0,2.0,1.0,2.0,1.5,0.25,6.99,0.235,0.11800000000000001,0.631,0.091,0.06,0.46399999999999997
아담,2015.0,4.5,-0.1,10.0,2.0,1.0,1.0,1.0,2.0,1.5,0.2,10.63,0.16699999999999998,0.5,0.475,0.0,0.1,0.425
아담,2011.0,5.4,-0.1,57.0,14.0,3.0,3.0,0.0,10.0,1.27,0.268,5.13,0.273,0.273,0.527,0.05,0.086,0.502
듀브론트,2011.0,6.1,-0.1,47.0,12.0,1.0,8.0,0.0,6.0,1.94,0.344,5.44,0.281,0.43799999999999994,0.674,0.111,0.055999999999999994,0.382
오설리반,2014.0,6.39,-0.1,52.0,15.0,3.0,2.0,0.0,7.0,1.34,0.3,5.58,0.22,0.39,0.563,0.063,0.073,0.521
에반,2012.0,6.75,-0.1,57.0,14.0,1.0,6.0,1.0,8.0,1.67,0.317,4.59,0.366,0.341,0.539,0.083,0.11800000000000001,0.48700000000000004
어윈,2014.0,6.75,-0.1,20.0,6.0,1.0,2.0,1.0,2.0,2.0,0.35700000000000004,7.63,0.267,0.33299999999999996,0.6990000000000001,0.33299999999999996,0.07200000000000001,0.434
스틴슨,2011.0,6.92,-0.1,57.0,14.0,1.0,7.0,0.0,8.0,1.62,0.317,4.41,0.275,0.425,0.644,0.0,0.051,0.386
어센시오,2013.0,7.71,-0.1,12.0,3.0,1.0,2.0,0.0,4.0,2.14,0.4,7.76,0.0,0.667,0.26,0.0,0.111,0.4
후랭코프,2017.0,9.0,-0.1,9.0,4.0,1.0,0.0,0.0,2.0,2.0,0.5,7.66,0.14300000000000002,0.429,0.541,0.0,0.054000000000000006,0.405
휠러,2017.0,9.0,-0.1,18.0,6.0,1.0,4.0,0.0,0.0,3.33,0.385,11.49,0.28600000000000003,0.5,0.589,0.0,0.036000000000000004,0.46399999999999997
볼스테드,2013.0,10.8,-0.1,47.0,19.0,1.0,1.0,2.0,3.0,2.4,0.45,4.97,0.268,0.415,0.67,0.0,0.055,0.4920000000000001
플란데,2016.0,12.27,-0.1,20.0,8.0,0.0,3.0,0.0,0.0,3.0,0.471,5.6,0.313,0.5,0.483,0.0,0.032,0.36200000000000004
코엘로,2012.0,12.79,-0.1,33.0,10.0,2.0,4.0,1.0,11.0,2.21,0.5329999999999999,6.09,0.294,0.11800000000000001,0.818,0.0,0.136,0.462
헤일,2016.0,13.5,-0.1,12.0,4.0,1.0,2.0,0.0,1.0,3.0,0.375,11.65,0.25,0.25,0.638,0.0,0.063,0.532
오간도,2018.0,18.0,-0.1,8.0,2.0,0.0,3.0,0.0,1.0,5.0,0.5,10.16,0.5,0.25,0.677,0.0,0.065,0.419
레이예스,2010.0,24.3,-0.1,23.0,10.0,2.0,3.0,0.0,2.0,3.9,0.5,12.38,0.278,0.33299999999999996,0.5539999999999999,0.0,0.054000000000000006,0.446
헤일,2014.0,3.3,-0.2,383.0,89.0,5.0,39.0,3.0,44.0,1.47,0.28800000000000003,4.31,0.18600000000000005,0.56,0.6629999999999999,0.122,0.08800000000000001,0.457
오설리반,2010.0,5.49,-0.2,368.0,90.0,15.0,31.0,1.0,43.0,1.45,0.27,5.53,0.17,0.408,0.5670000000000001,0.115,0.06,0.414
로저스,2014.0,5.72,-0.2,202.0,50.0,8.0,17.0,2.0,44.0,1.47,0.321,4.73,0.19899999999999998,0.375,0.547,0.052000000000000005,0.09,0.445
탈보트,2011.0,6.64,-0.2,299.0,90.0,10.0,28.0,3.0,36.0,1.85,0.36,5.4,0.24600000000000002,0.425,0.44799999999999995,0.12,0.049,0.446
리즈,2015.0,4.24,-0.2,106.0,26.0,4.0,12.0,3.0,27.0,1.63,0.3670000000000001,4.98,0.349,0.349,0.69,0.158,0.10300000000000001,0.461
어센시오,2012.0,4.91,-0.2,175.0,39.0,5.0,19.0,1.0,29.0,1.44,0.281,4.76,0.24,0.408,0.41,0.091,0.099,0.45399999999999996
세든,2010.0,5.64,-0.2,95.0,21.0,4.0,10.0,0.0,16.0,1.39,0.262,5.32,0.159,0.478,0.618,0.12,0.096,0.442
웨버,2013.0,2.4,-0.2,61.0,12.0,2.0,8.0,0.0,10.0,1.33,0.244,5.05,0.209,0.535,0.523,0.0,0.084,0.405
앨버스,2015.0,3.37,-0.2,11.0,1.0,1.0,2.0,0.0,1.0,1.12,0.0,9.51,0.25,0.5,0.371,0.0,0.028999999999999998,0.34299999999999997
올슨,2010.0,4.54,-0.2,172.0,42.0,6.0,15.0,0.0,31.0,1.51,0.3,4.7,0.218,0.371,0.563,0.098,0.079,0.46299999999999997
헤일,2018.0,4.61,-0.2,62.0,16.0,3.0,5.0,1.0,8.0,1.54,0.289,6.16,0.20800000000000002,0.41700000000000004,0.48200000000000004,0.16699999999999998,0.102,0.513
레일리,2013.0,5.14,-0.2,61.0,11.0,2.0,8.0,2.0,14.0,1.36,0.257,5.05,0.278,0.47200000000000003,0.5870000000000001,0.111,0.08900000000000001,0.426
이브랜드,2015.0,5.4,-0.2,18.0,5.0,1.0,3.0,0.0,4.0,2.4,0.4,7.33,0.273,0.364,0.46399999999999997,0.0,0.115,0.429
지크,2013.0,5.56,-0.2,55.0,17.0,3.0,5.0,1.0,9.0,1.94,0.378,6.49,0.21100000000000002,0.395,0.675,0.2,0.091,0.47200000000000003
앨버스,2016.0,5.82,-0.2,85.0,27.0,5.0,6.0,0.0,16.0,1.94,0.379,6.15,0.222,0.47600000000000003,0.6629999999999999,0.0,0.064,0.457
토마스,2010.0,6.23,-0.2,62.0,21.0,3.0,5.0,0.0,5.0,2.0,0.3670000000000001,6.46,0.235,0.275,0.517,0.04,0.055,0.479
스틴슨,2014.0,6.23,-0.2,61.0,16.0,2.0,6.0,2.0,6.0,1.69,0.311,6.06,0.17,0.511,0.623,0.133,0.076,0.47
헥터,2015.0,6.89,-0.2,154.0,41.0,7.0,17.0,1.0,22.0,1.78,0.318,6.23,0.184,0.395,0.541,0.22899999999999998,0.11199999999999999,0.5
맨쉽,2013.0,7.04,-0.2,139.0,37.0,6.0,12.0,0.0,18.0,1.6,0.301,5.59,0.259,0.45399999999999996,0.565,0.09699999999999999,0.083,0.445
레온,2016.0,7.71,-0.2,11.0,3.0,1.0,1.0,0.0,2.0,1.71,0.28600000000000003,8.29,0.125,0.5,0.5870000000000001,0.0,0.109,0.457
험버,2013.0,7.9,-0.2,259.0,75.0,9.0,20.0,1.0,36.0,1.74,0.342,5.02,0.213,0.4370000000000001,0.5720000000000001,0.028999999999999998,0.09300000000000001,0.47200000000000003
아담,2012.0,8.18,-0.2,55.0,21.0,4.0,3.0,0.0,7.0,2.18,0.415,7.37,0.182,0.386,0.521,0.053,0.067,0.469
클로이드,2018.0,8.66,-0.2,87.0,25.0,3.0,10.0,1.0,13.0,1.98,0.3670000000000001,5.76,0.28600000000000003,0.28600000000000003,0.5329999999999999,0.07400000000000001,0.066,0.467
허프,2015.0,9.0,-0.2,30.0,11.0,2.0,1.0,1.0,4.0,2.0,0.409,7.13,0.22699999999999998,0.5,0.66,0.16699999999999998,0.085,0.5
루카스,2014.0,9.49,-0.2,66.0,19.0,2.0,9.0,0.0,9.0,2.27,0.37,5.97,0.271,0.5,0.6459999999999999,0.091,0.055999999999999994,0.371
서캠프,2015.0,10.8,-0.2,16.0,4.0,2.0,1.0,2.0,4.0,1.5,0.28600000000000003,11.23,0.375,0.375,0.5489999999999999,0.0,0.157,0.431
