pitcher_name,year,ERA,WAR,TBF,H,HR,BB,HBP,SO,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,SwStr%,Swing%
윌랜드,2012.0,4.55,0.0,119.0,26.0,5.0,9.0,1.0,24.0,1.27,0.263,4.79,0.205,0.41,0.573,0.031,0.08800000000000001,0.451
헤일리,2017.0,6.0,0.0,81.0,22.0,3.0,6.0,1.0,14.0,1.56,0.333,4.94,0.36700000000000005,0.38299999999999995,0.649,0.133,0.061,0.47
켈리,2015.0,7.94,0.0,56.0,19.0,1.0,3.0,1.0,7.0,1.94,0.409,4.1,0.318,0.43200000000000005,0.617,0.0,0.065,0.44799999999999995
채드벨,2018.0,8.59,0.0,36.0,14.0,1.0,2.0,0.0,7.0,2.18,0.5,3.84,0.29600000000000004,0.444,0.447,0.0,0.114,0.455
윌랜드,2016.0,10.8,0.0,23.0,9.0,1.0,0.0,0.0,3.0,1.8,0.421,4.55,0.25,0.5,0.557,0.0,0.091,0.511
톰슨,2017.0,3.88,-0.1,210.0,50.0,9.0,22.0,5.0,35.0,1.55,0.295,5.92,0.156,0.46299999999999997,0.511,0.071,0.076,0.425
켈리,2012.0,6.21,-0.1,136.0,39.0,5.0,10.0,2.0,26.0,1.69,0.366,4.78,0.168,0.5579999999999999,0.653,0.115,0.10099999999999999,0.43700000000000006
버틀러,2014.0,6.75,-0.1,76.0,23.0,2.0,7.0,0.0,3.0,1.88,0.328,5.69,0.25,0.516,0.639,0.067,0.046,0.478
터너,2011.0,8.53,-0.1,60.0,17.0,3.0,4.0,1.0,8.0,1.66,0.318,6.03,0.196,0.413,0.531,0.055999999999999994,0.079,0.423
루친스키,2017.0,10.38,-0.1,23.0,10.0,2.0,2.0,0.0,5.0,2.77,0.571,8.23,0.125,0.563,0.39799999999999996,0.2,0.091,0.47700000000000004
요키시,2014.0,1.88,-0.2,66.0,18.0,3.0,4.0,0.0,10.0,1.53,0.306,5.3,0.235,0.51,0.5820000000000001,0.077,0.084,0.466
헤일리,2018.0,4.7,-0.2,35.0,10.0,2.0,3.0,0.0,0.0,1.7,0.267,7.73,0.125,0.469,0.581,0.077,0.047,0.48100000000000004
쿠에바스,2018.0,7.41,-0.2,84.0,20.0,3.0,11.0,4.0,20.0,1.82,0.37,5.75,0.188,0.5,0.376,0.067,0.135,0.46299999999999997
루친스키,2015.0,7.71,-0.2,35.0,10.0,1.0,6.0,1.0,4.0,2.29,0.391,6.85,0.20800000000000002,0.45799999999999996,0.6409999999999999,0.0,0.057999999999999996,0.392
윌랜드,2015.0,8.31,-0.2,40.0,10.0,2.0,5.0,0.0,4.0,1.73,0.276,6.94,0.29,0.387,0.625,0.2,0.045,0.401
서폴드,2017.0,4.88,-0.3,280.0,64.0,9.0,31.0,6.0,44.0,1.52,0.289,5.39,0.203,0.431,0.515,0.125,0.078,0.45299999999999996
버틀러,2015.0,5.9,-0.3,370.0,102.0,13.0,42.0,4.0,44.0,1.82,0.333,5.89,0.221,0.5,0.6459999999999999,0.092,0.069,0.451
알칸타라,2017.0,7.13,-0.3,108.0,22.0,5.0,12.0,3.0,12.0,1.42,0.224,6.74,0.188,0.488,0.617,0.038,0.081,0.457
윌랜드,2014.0,7.15,-0.3,54.0,16.0,3.0,5.0,0.0,8.0,1.85,0.342,6.49,0.22,0.366,0.67,0.0,0.079,0.4
채드벨,2017.0,6.93,-0.3,293.0,81.0,12.0,31.0,3.0,57.0,1.8,0.363,5.47,0.20800000000000002,0.45,0.584,0.057999999999999996,0.08800000000000001,0.45799999999999996
터너,2018.0,20.25,-0.3,46.0,19.0,2.0,6.0,0.0,3.0,3.75,0.486,8.86,0.18899999999999997,0.405,0.624,0.133,0.062,0.469
톰슨,2016.0,5.7,-0.4,237.0,53.0,10.0,28.0,4.0,32.0,1.51,0.264,6.17,0.16899999999999998,0.46399999999999997,0.498,0.098,0.066,0.41200000000000003
터너,2017.0,5.08,-0.4,170.0,43.0,8.0,15.0,1.0,23.0,1.49,0.285,5.88,0.18600000000000003,0.434,0.662,0.061,0.06,0.46399999999999997
서폴드,2018.0,4.46,-0.5,158.0,41.0,6.0,13.0,2.0,16.0,1.57,0.289,5.81,0.285,0.415,0.406,0.081,0.061,0.44
터너,2016.0,6.57,-0.5,122.0,33.0,5.0,16.0,2.0,18.0,1.99,0.346,6.51,0.267,0.512,0.657,0.0,0.079,0.462
알칸타라,2016.0,7.25,-0.6,103.0,31.0,9.0,4.0,4.0,14.0,1.57,0.306,8.21,0.17300000000000001,0.395,0.6609999999999999,0.086,0.061,0.461
맥과이어,2018.0,6.16,-0.7,177.0,38.0,9.0,26.0,5.0,33.0,1.68,0.279,6.95,0.257,0.363,0.564,0.09300000000000001,0.091,0.434
버틀러,2018.0,5.62,-0.8,228.0,59.0,11.0,19.0,2.0,29.0,1.57,0.287,6.14,0.182,0.517,0.645,0.057,0.065,0.486
