pitcher_name,year,team,ERA,TBF,H,HR,BB,HBP,SO,year_born
클로이드,2015,삼성,5.19,705,190,24,38,12,123,
탈보트,2012,삼성,3.97,584,136,8,54,5,68,
탈보트,2015,한화,4.72,695,153,11,85,13,120,
토마스,2014,KIA,4.44,210,55,3,19,1,51,
티포드,2014,LG,5.24,455,105,9,51,6,85,
팻딘,2017,KIA,4.14,770,211,22,39,16,143,
팻딘,2018,KIA,6.26,588,174,23,27,4,101,
플란데,2016,삼성,7.6,330,92,13,33,1,56,
피가로,2015,삼성,3.38,688,154,16,51,7,117,
피노,2016,KT,7.15,191,62,4,15,4,23,
피어밴드,2015,넥센,4.67,774,202,23,61,12,137,
피어밴드,2016,KT,4.45,803,231,23,48,10,144,
피어밴드,2017,KT,3.04,657,153,20,31,7,132,
피어밴드,2018,KT,4.3,707,186,24,38,6,141,
해커,2013,NC,3.63,744,163,12,50,17,127,
해커,2014,NC,4.01,749,169,14,62,14,112,
해커,2015,NC,3.13,833,174,14,36,25,164,
해커,2016,NC,3.45,587,132,14,31,10,119,
해커,2017,NC,3.42,672,159,14,29,14,97,
해커,2018,넥센,5.2,349,86,16,30,5,56,
허프,2016,LG,3.13,299,72,2,9,1,46,
허프,2017,LG,2.38,490,100,7,14,2,98,
험버,2015,KIA,6.75,244,62,11,32,5,35,
헥터,2016,KIA,3.4,868,211,7,51,6,139,
헥터,2017,KIA,3.48,854,221,21,45,5,149,
헥터,2018,KIA,4.6,753,209,25,36,4,137,
후랭코프,2018,두산,3.74,621,118,12,55,22,134,1988년 08월 27일
휠러,2018,한화,5.13,459,128,12,34,10,94,
산체스,2018,SK,4.89,632,161,26,39,7,124,1989년 11월 28일
윌슨,2018,LG,3.07,689,158,11,35,6,149,1989년 09월 25일
헤일,2018,한화,4.34,277,68,8,17,4,55,
